iteration,latency_ns,latency_ms,precision,threads,kernels
197,1173572,1.173572,double,2,10
198,1045840,1.04584,double,2,10
199,1044582,1.044582,double,2,10
200,878981,0.878981,double,2,10
201,861533,0.861533,double,2,10
202,872201,0.872201,double,2,10
203,868645,0.868645,double,2,10
204,871973,0.871973,double,2,10
205,864440,0.86444,double,2,10
206,866886,0.866886,double,2,10
207,867345,0.867345,double,2,10
208,868424,0.868424,double,2,10
209,867555,0.867555,double,2,10
210,866887,0.866887,double,2,10
211,871046,0.871046,double,2,10
212,867098,0.867098,double,2,10
213,866049,0.866049,double,2,10
214,869688,0.869688,double,2,10
215,869340,0.86934,double,2,10
216,869178,0.869178,double,2,10
217,871816,0.871816,double,2,10
218,876643,0.876643,double,2,10
219,874226,0.874226,double,2,10
220,870716,0.870716,double,2,10
221,880204,0.880204,double,2,10
222,880511,0.880511,double,2,10
223,892878,0.892878,double,2,10
224,893460,0.89346,double,2,10
225,887100,0.8871,double,2,10
226,871013,0.871013,double,2,10
227,868491,0.868491,double,2,10
228,869127,0.869127,double,2,10
229,863859,0.863859,double,2,10
230,872374,0.872374,double,2,10
231,870035,0.870035,double,2,10
232,873651,0.873651,double,2,10
233,867957,0.867957,double,2,10
234,869590,0.86959,double,2,10
235,928823,0.928823,double,2,10
236,906582,0.906582,double,2,10
237,923380,0.92338,double,2,10
238,928013,0.928013,double,2,10
239,916159,0.916159,double,2,10
240,907184,0.907184,double,2,10
241,895738,0.895738,double,2,10
242,891045,0.891045,double,2,10
243,897265,0.897265,double,2,10
244,896809,0.896809,double,2,10
245,894087,0.894087,double,2,10
246,887173,0.887173,double,2,10
247,866469,0.866469,double,2,10
248,867402,0.867402,double,2,10
249,864263,0.864263,double,2,10
250,871345,0.871345,double,2,10
251,867363,0.867363,double,2,10
252,867124,0.867124,double,2,10
253,868319,0.868319,double,2,10
254,868065,0.868065,double,2,10
255,866599,0.866599,double,2,10
256,874935,0.874935,double,2,10
257,869125,0.869125,double,2,10
258,899510,0.89951,double,2,10
259,910998,0.910998,double,2,10
260,896115,0.896115,double,2,10
261,868688,0.868688,double,2,10
262,865814,0.865814,double,2,10
263,864541,0.864541,double,2,10
264,873882,0.873882,double,2,10
265,867134,0.867134,double,2,10
266,876549,0.876549,double,2,10
267,880729,0.880729,double,2,10
268,895252,0.895252,double,2,10
269,891709,0.891709,double,2,10
270,885756,0.885756,double,2,10
271,869037,0.869037,double,2,10
272,867411,0.867411,double,2,10
273,867189,0.867189,double,2,10
274,865967,0.865967,double,2,10
275,873170,0.87317,double,2,10
276,865567,0.865567,double,2,10
277,871045,0.871045,double,2,10
278,867934,0.867934,double,2,10
279,868530,0.86853,double,2,10
280,866129,0.866129,double,2,10
281,864187,0.864187,double,2,10
282,872997,0.872997,double,2,10
283,868941,0.868941,double,2,10
284,866759,0.866759,double,2,10
285,864664,0.864664,double,2,10
286,880802,0.880802,double,2,10
287,867205,0.867205,double,2,10
288,864071,0.864071,double,2,10
289,871708,0.871708,double,2,10
290,868787,0.868787,double,2,10
291,879160,0.87916,double,2,10
292,889082,0.889082,double,2,10
293,891589,0.891589,double,2,10
294,884790,0.88479,double,2,10
295,869080,0.86908,double,2,10
296,868203,0.868203,double,2,10
297,862906,0.862906,double,2,10
298,864881,0.864881,double,2,10
299,871371,0.871371,double,2,10
300,868040,0.86804,double,2,10
301,865919,0.865919,double,2,10
302,866427,0.866427,double,2,10
303,878480,0.87848,double,2,10
304,887255,0.887255,double,2,10
305,867594,0.867594,double,2,10
306,870982,0.870982,double,2,10
307,869324,0.869324,double,2,10
308,869286,0.869286,double,2,10
309,867107,0.867107,double,2,10
310,870494,0.870494,double,2,10
311,867193,0.867193,double,2,10
312,872692,0.872692,double,2,10
313,868989,0.868989,double,2,10
314,870614,0.870614,double,2,10
315,868795,0.868795,double,2,10
316,866764,0.866764,double,2,10
317,869251,0.869251,double,2,10
318,868192,0.868192,double,2,10
319,868100,0.8681,double,2,10
320,865084,0.865084,double,2,10
321,869487,0.869487,double,2,10
322,866056,0.866056,double,2,10
323,873608,0.873608,double,2,10
324,870191,0.870191,double,2,10
325,866056,0.866056,double,2,10
326,870031,0.870031,double,2,10
327,865773,0.865773,double,2,10
328,865406,0.865406,double,2,10
329,866716,0.866716,double,2,10
330,869884,0.869884,double,2,10
331,869313,0.869313,double,2,10
332,877141,0.877141,double,2,10
333,869359,0.869359,double,2,10
334,866507,0.866507,double,2,10
335,867749,0.867749,double,2,10
336,866964,0.866964,double,2,10
337,885667,0.885667,double,2,10
338,895209,0.895209,double,2,10
339,891281,0.891281,double,2,10
340,879071,0.879071,double,2,10
341,873245,0.873245,double,2,10
342,867398,0.867398,double,2,10
343,868877,0.868877,double,2,10
344,868864,0.868864,double,2,10
345,893080,0.89308,double,2,10
346,875980,0.87598,double,2,10
347,902148,0.902148,double,2,10
348,896500,0.8965,double,2,10
349,899453,0.899453,double,2,10
350,909723,0.909723,double,2,10
351,899749,0.899749,double,2,10
352,868633,0.868633,double,2,10
353,868087,0.868087,double,2,10
354,907935,0.907935,double,2,10
355,911569,0.911569,double,2,10
356,893355,0.893355,double,2,10
357,874856,0.874856,double,2,10
358,880519,0.880519,double,2,10
359,893691,0.893691,double,2,10
360,890027,0.890027,double,2,10
361,882130,0.88213,double,2,10
362,866026,0.866026,double,2,10
363,865805,0.865805,double,2,10
364,865398,0.865398,double,2,10
365,865810,0.86581,double,2,10
366,869943,0.869943,double,2,10
367,867524,0.867524,double,2,10
368,867274,0.867274,double,2,10
369,868506,0.868506,double,2,10
370,887873,0.887873,double,2,10
371,905212,0.905212,double,2,10
372,900354,0.900354,double,2,10
373,886104,0.886104,double,2,10
374,870702,0.870702,double,2,10
375,870523,0.870523,double,2,10
376,868086,0.868086,double,2,10
377,867786,0.867786,double,2,10
378,868913,0.868913,double,2,10
379,895304,0.895304,double,2,10
380,877684,0.877684,double,2,10
381,875571,0.875571,double,2,10
382,868921,0.868921,double,2,10
383,866238,0.866238,double,2,10
384,870198,0.870198,double,2,10
385,870239,0.870239,double,2,10
386,929619,0.929619,double,2,10
387,870658,0.870658,double,2,10
388,868003,0.868003,double,2,10
389,874187,0.874187,double,2,10
390,868035,0.868035,double,2,10
391,863444,0.863444,double,2,10
392,867689,0.867689,double,2,10
393,872882,0.872882,double,2,10
394,865280,0.86528,double,2,10
395,865455,0.865455,double,2,10
396,865230,0.86523,double,2,10
397,867791,0.867791,double,2,10
398,865419,0.865419,double,2,10
399,867662,0.867662,double,2,10
400,883455,0.883455,double,2,10
401,867814,0.867814,double,2,10
402,864113,0.864113,double,2,10
403,870612,0.870612,double,2,10
404,872132,0.872132,double,2,10
405,865723,0.865723,double,2,10
406,868227,0.868227,double,2,10
407,870291,0.870291,double,2,10
408,866495,0.866495,double,2,10
409,868338,0.868338,double,2,10
410,867902,0.867902,double,2,10
411,866270,0.86627,double,2,10
412,873488,0.873488,double,2,10
413,872850,0.87285,double,2,10
414,867484,0.867484,double,2,10
415,869574,0.869574,double,2,10
416,867032,0.867032,double,2,10
417,872966,0.872966,double,2,10
418,865796,0.865796,double,2,10
419,886587,0.886587,double,2,10
420,865526,0.865526,double,2,10
421,866596,0.866596,double,2,10
422,872541,0.872541,double,2,10
423,868434,0.868434,double,2,10
424,870156,0.870156,double,2,10
425,863990,0.86399,double,2,10
426,866015,0.866015,double,2,10
427,871130,0.87113,double,2,10
428,870394,0.870394,double,2,10
429,865163,0.865163,double,2,10
430,869266,0.869266,double,2,10
431,868824,0.868824,double,2,10
432,866337,0.866337,double,2,10
433,864107,0.864107,double,2,10
434,868065,0.868065,double,2,10
435,867858,0.867858,double,2,10
436,867836,0.867836,double,2,10
437,866307,0.866307,double,2,10
438,882203,0.882203,double,2,10
439,872770,0.87277,double,2,10
440,893941,0.893941,double,2,10
441,887504,0.887504,double,2,10
442,897224,0.897224,double,2,10
443,866279,0.866279,double,2,10
444,867239,0.867239,double,2,10
445,871059,0.871059,double,2,10
446,869584,0.869584,double,2,10
447,870988,0.870988,double,2,10
448,868266,0.868266,double,2,10
449,863889,0.863889,double,2,10
450,868805,0.868805,double,2,10
451,865979,0.865979,double,2,10
452,863942,0.863942,double,2,10
453,869003,0.869003,double,2,10
454,870384,0.870384,double,2,10
455,870662,0.870662,double,2,10
456,866671,0.866671,double,2,10
457,864667,0.864667,double,2,10
458,868454,0.868454,double,2,10
459,866697,0.866697,double,2,10
460,868084,0.868084,double,2,10
461,872963,0.872963,double,2,10
462,868974,0.868974,double,2,10
463,866536,0.866536,double,2,10
464,862080,0.86208,double,2,10
465,874500,0.8745,double,2,10
466,878915,0.878915,double,2,10
467,902762,0.902762,double,2,10
468,899690,0.89969,double,2,10
469,891181,0.891181,double,2,10
470,892659,0.892659,double,2,10
471,890916,0.890916,double,2,10
472,867611,0.867611,double,2,10
473,865706,0.865706,double,2,10
474,893380,0.89338,double,2,10
475,868252,0.868252,double,2,10
476,870503,0.870503,double,2,10
477,869116,0.869116,double,2,10
478,867401,0.867401,double,2,10
479,866750,0.86675,double,2,10
480,866237,0.866237,double,2,10
481,863045,0.863045,double,2,10
482,872960,0.87296,double,2,10
