iteration,latency_ns,latency_ms,precision,threads,scope
88,15704982,15.705,double_intermediate,1,plan+SOCS+FI+output_formation
89,15621475,15.6215,double_intermediate,1,plan+SOCS+FI+output_formation
90,15638413,15.6384,double_intermediate,1,plan+SOCS+FI+output_formation
91,15699567,15.6996,double_intermediate,1,plan+SOCS+FI+output_formation
92,15592770,15.5928,double_intermediate,1,plan+SOCS+FI+output_formation
93,15661994,15.662,double_intermediate,1,plan+SOCS+FI+output_formation
94,15679103,15.6791,double_intermediate,1,plan+SOCS+FI+output_formation
95,15681363,15.6814,double_intermediate,1,plan+SOCS+FI+output_formation
96,15656155,15.6562,double_intermediate,1,plan+SOCS+FI+output_formation
97,15593769,15.5938,double_intermediate,1,plan+SOCS+FI+output_formation
98,15629199,15.6292,double_intermediate,1,plan+SOCS+FI+output_formation
99,15811542,15.8115,double_intermediate,1,plan+SOCS+FI+output_formation
100,15633213,15.6332,double_intermediate,1,plan+SOCS+FI+output_formation
101,15629039,15.629,double_intermediate,1,plan+SOCS+FI+output_formation
102,15652284,15.6523,double_intermediate,1,plan+SOCS+FI+output_formation
103,15664255,15.6643,double_intermediate,1,plan+SOCS+FI+output_formation
104,15635649,15.6356,double_intermediate,1,plan+SOCS+FI+output_formation
105,15627223,15.6272,double_intermediate,1,plan+SOCS+FI+output_formation
106,15626446,15.6264,double_intermediate,1,plan+SOCS+FI+output_formation
107,15603303,15.6033,double_intermediate,1,plan+SOCS+FI+output_formation
108,15623546,15.6235,double_intermediate,1,plan+SOCS+FI+output_formation
109,15634067,15.6341,double_intermediate,1,plan+SOCS+FI+output_formation
110,15622463,15.6225,double_intermediate,1,plan+SOCS+FI+output_formation
111,18037547,18.0375,double_intermediate,1,plan+SOCS+FI+output_formation
112,16106798,16.1068,double_intermediate,1,plan+SOCS+FI+output_formation
113,15705137,15.7051,double_intermediate,1,plan+SOCS+FI+output_formation
114,15624824,15.6248,double_intermediate,1,plan+SOCS+FI+output_formation
115,15720103,15.7201,double_intermediate,1,plan+SOCS+FI+output_formation
116,15672976,15.673,double_intermediate,1,plan+SOCS+FI+output_formation
117,15796609,15.7966,double_intermediate,1,plan+SOCS+FI+output_formation
118,17271453,17.2715,double_intermediate,1,plan+SOCS+FI+output_formation
119,16505063,16.5051,double_intermediate,1,plan+SOCS+FI+output_formation
120,15674987,15.675,double_intermediate,1,plan+SOCS+FI+output_formation
121,16002294,16.0023,double_intermediate,1,plan+SOCS+FI+output_formation
122,16202601,16.2026,double_intermediate,1,plan+SOCS+FI+output_formation
123,15601417,15.6014,double_intermediate,1,plan+SOCS+FI+output_formation
124,15666897,15.6669,double_intermediate,1,plan+SOCS+FI+output_formation
125,15637620,15.6376,double_intermediate,1,plan+SOCS+FI+output_formation
126,15729117,15.7291,double_intermediate,1,plan+SOCS+FI+output_formation
127,15968683,15.9687,double_intermediate,1,plan+SOCS+FI+output_formation
128,15798475,15.7985,double_intermediate,1,plan+SOCS+FI+output_formation
129,15797396,15.7974,double_intermediate,1,plan+SOCS+FI+output_formation
130,15773289,15.7733,double_intermediate,1,plan+SOCS+FI+output_formation
131,15831757,15.8318,double_intermediate,1,plan+SOCS+FI+output_formation
132,15800711,15.8007,double_intermediate,1,plan+SOCS+FI+output_formation
133,15795324,15.7953,double_intermediate,1,plan+SOCS+FI+output_formation
134,15871367,15.8714,double_intermediate,1,plan+SOCS+FI+output_formation
135,15759648,15.7596,double_intermediate,1,plan+SOCS+FI+output_formation
136,15822368,15.8224,double_intermediate,1,plan+SOCS+FI+output_formation
