name,rmse,max_abs,max_rel,mean_abs,correlation,psnr,reference_min,reference_max,actual_min,actual_max,threshold_rmse,threshold_max_abs,threshold_max_rel,passed
tmpImgp_vs_golden,1.694612386518801e-08,2.8312206268310547e-07,9.296628693812048e-06,6.019086562503162e-09,0.9999999999999424,141.23336289523272,3.582501085475087e-05,0.19531631469726562,3.5825167287839577e-05,0.19531632959842682,1e-05,0.0001,0.01,True
host_FI_vs_golden_SOCS,1.7102544848466816e-08,2.980232238769531e-07,1.5176461779935908e-05,6.16960588867288e-09,0.9999999999999447,141.15378494595197,3.561149787856266e-05,0.1953214704990387,3.561156336218119e-05,0.19532150030136108,1e-05,0.0001,0.01,True
host_FI_vs_TCC_direct,0.0019701203509818964,0.0031231618486344814,0.980892081885207,0.0019339151302393033,0.9999703977069507,40.00033907243437,0.0014724802458658814,0.19701972603797913,3.561156336218119e-05,0.19532150030136108,0.01,0.02,5.0,True
