name,rmse,max_abs,max_rel,mean_abs,correlation,psnr,reference_min,reference_max,actual_min,actual_max,threshold_rmse,threshold_max_abs,threshold_max_rel,passed
tmpImgp_vs_golden,2.749068851015531e-08,2.5331974029541016e-07,2.72295015311389e-06,1.4585673113742814e-08,0.9999999999999616,143.41092375974424,0.00030274706659838557,0.40712878108024597,0.0003027464263141155,0.40712884068489075,1e-05,0.0001,0.01,True
host_FI_vs_golden_SOCS,2.771532807649409e-08,2.8312206268310547e-07,6.2021986535801995e-06,1.4904105061219752e-08,0.9999999999999649,143.35107653962956,0.0003025027981493622,0.40763723850250244,0.00030250224517658353,0.40763723850250244,1e-05,0.0001,0.01,True
host_FI_vs_TCC_direct,0.004849069245080368,0.00792914628982544,0.9282617056558752,0.004765521738403777,0.9999616056516051,38.60129085335644,0.0035893162712454796,0.41278406977653503,0.00030250224517658353,0.40763723850250244,0.01,0.02,5.0,True
