name,rmse,max_abs,max_rel,mean_abs,correlation,psnr,reference_min,reference_max,actual_min,actual_max,threshold_rmse,threshold_max_abs,threshold_max_rel,passed
tmpImgp_vs_golden,3.540781893622638e-08,3.2782554626464844e-07,2.007872975614911e-06,2.0790167809536797e-08,0.9999999999999595,145.14148391284272,0.0020806086249649525,0.6399902701377869,0.0020806100219488144,0.6399903297424316,1e-05,0.0001,0.01,True
host_FI_vs_golden_SOCS,3.58097911601903e-08,3.5762786865234375e-07,3.50297402494718e-06,2.1213271583775395e-08,0.9999999999999545,145.04841416717258,0.0020778034813702106,0.640357494354248,0.002077805809676647,0.6403576135635376,1e-05,0.0001,0.01,True
host_FI_vs_TCC_direct,0.006215798132846936,0.010165255516767502,0.7597280588676703,0.006141486667991414,0.9999689081797941,40.30852844387979,0.008556146174669266,0.6440555453300476,0.002077805809676647,0.6403576135635376,0.01,0.02,5.0,True
