kernel_count,samples,mean_ms,median_ms,stddev_ms,min_ms,max_ms,p5_ms,p95_ms,hardware_rmse,hardware_max_abs,measurement_type
1,1000,1.6113966519999998,1.6063375,0.0771335619897858,1.594213,3.678703,1.59847335,1.61595025,2.542418289074548e-08,3.5762786865234375e-07,on-board host-observed ap_start/ap_done busy-poll
5,1000,6.937104938,6.935504,0.030881820344337476,6.923804,7.874632,6.92659965,6.94596295,2.748177915643984e-08,3.427267074584961e-07,on-board host-observed ap_start/ap_done busy-poll
10,1000,13.61000317,13.599762,0.12774796134131441,13.585942,16.184555,13.5919972,13.610343799999999,2.8860835853593905e-08,3.725290298461914e-07,on-board host-observed ap_start/ap_done busy-poll
