name,rmse,max_abs,max_rel,mean_abs,correlation,psnr,reference_min,reference_max,actual_min,actual_max,threshold_rmse,threshold_max_abs,threshold_max_rel,passed
tmpImgp_vs_golden,3.739509121788866e-08,3.8743019104003906e-07,2.981331553975284e-06,2.0446117687811238e-08,0.999999999999966,140.82907666027683,0.00036064544110558927,0.41140392422676086,0.00036064532469026744,0.4114038646221161,1e-05,0.0001,0.01,True
host_FI_vs_golden_SOCS,3.765492525075504e-08,3.8743019104003906e-07,7.6490967146921e-06,2.0927690885796935e-08,0.9999999999999643,140.77015527273068,0.0003539570316206664,0.41146183013916016,0.0003539583121892065,0.411461740732193,1e-05,0.0001,0.01,True
host_FI_vs_TCC_direct,0.001057437774242373,0.002192288637161255,0.7614312446788751,0.0010326322075562,0.9999979909041206,51.82671411537139,0.001324114971794188,0.4126582443714142,0.0003539583121892065,0.411461740732193,0.01,0.02,5.0,True
