iteration,latency_ns,latency_ms,measurement_type
144,13602294,13.602294,host_observed_busy_poll
145,13602694,13.602694,host_observed_busy_poll
146,13602978,13.602978,host_observed_busy_poll
147,13600084,13.600084,host_observed_busy_poll
148,13596320,13.59632,host_observed_busy_poll
149,13602495,13.602495,host_observed_busy_poll
150,13602136,13.602136,host_observed_busy_poll
151,13600875,13.600875,host_observed_busy_poll
152,13606411,13.606411,host_observed_busy_poll
153,13601586,13.601586,host_observed_busy_poll
154,13601265,13.601265,host_observed_busy_poll
155,13598947,13.598947,host_observed_busy_poll
156,13602197,13.602197,host_observed_busy_poll
157,13594261,13.594261,host_observed_busy_poll
158,13600193,13.600193,host_observed_busy_poll
159,13595279,13.595279,host_observed_busy_poll
160,13606322,13.606322,host_observed_busy_poll
161,13601494,13.601494,host_observed_busy_poll
162,13602834,13.602834,host_observed_busy_poll
163,13599773,13.599773,host_observed_busy_poll
164,13599373,13.599373,host_observed_busy_poll
165,13599705,13.599705,host_observed_busy_poll
166,13591484,13.591484,host_observed_busy_poll
167,13603079,13.603079,host_observed_busy_poll
168,13602909,13.602909,host_observed_busy_poll
169,13606636,13.606636,host_observed_busy_poll
170,13597352,13.597352,host_observed_busy_poll
171,13602561,13.602561,host_observed_busy_poll
172,13593848,13.593848,host_observed_busy_poll
173,13597709,13.597709,host_observed_busy_poll
174,13592535,13.592535,host_observed_busy_poll
175,13603176,13.603176,host_observed_busy_poll
176,13597923,13.597923,host_observed_busy_poll
177,13596964,13.596964,host_observed_busy_poll
178,13596006,13.596006,host_observed_busy_poll
179,13600409,13.600409,host_observed_busy_poll
180,13603979,13.603979,host_observed_busy_poll
181,13603730,13.60373,host_observed_busy_poll
182,13898264,13.898264,host_observed_busy_poll
183,13604909,13.604909,host_observed_busy_poll
184,13609205,13.609205,host_observed_busy_poll
185,13607401,13.607401,host_observed_busy_poll
186,13605600,13.6056,host_observed_busy_poll
187,13595784,13.595784,host_observed_busy_poll
188,13600722,13.600722,host_observed_busy_poll
189,13600151,13.600151,host_observed_busy_poll
190,13601301,13.601301,host_observed_busy_poll
191,13610639,13.610639,host_observed_busy_poll
192,13608529,13.608529,host_observed_busy_poll
193,13593018,13.593018,host_observed_busy_poll
194,13594447,13.594447,host_observed_busy_poll
195,13596286,13.596286,host_observed_busy_poll
196,13607172,13.607172,host_observed_busy_poll
197,13603678,13.603678,host_observed_busy_poll
198,13597564,13.597564,host_observed_busy_poll
199,13595536,13.595536,host_observed_busy_poll
200,13599477,13.599477,host_observed_busy_poll
201,13600179,13.600179,host_observed_busy_poll
202,13599944,13.599944,host_observed_busy_poll
203,13597991,13.597991,host_observed_busy_poll
204,13597451,13.597451,host_observed_busy_poll
205,13595965,13.595965,host_observed_busy_poll
206,13603147,13.603147,host_observed_busy_poll
207,13605601,13.605601,host_observed_busy_poll
208,13607371,13.607371,host_observed_busy_poll
209,13607534,13.607534,host_observed_busy_poll
210,13599454,13.599454,host_observed_busy_poll
211,13607588,13.607588,host_observed_busy_poll
212,13606627,13.606627,host_observed_busy_poll
213,13593752,13.593752,host_observed_busy_poll
214,13601987,13.601987,host_observed_busy_poll
215,13598779,13.598779,host_observed_busy_poll
216,13602571,13.602571,host_observed_busy_poll
217,13600499,13.600499,host_observed_busy_poll
218,13599871,13.599871,host_observed_busy_poll
219,13592124,13.592124,host_observed_busy_poll
220,13596093,13.596093,host_observed_busy_poll
221,13594772,13.594772,host_observed_busy_poll
222,13604011,13.604011,host_observed_busy_poll
223,13603795,13.603795,host_observed_busy_poll
224,13607111,13.607111,host_observed_busy_poll
